taxon,life form,habitat,habit,clonality,perennial organ,plant height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf defence,leaf min width [cm],leaf max width [cm],leaf min length [cm],leaf max length [cm],inflorescence arrangement,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,petal fusion,petal colour,reproduction architecture,reproduction system,stamen count,stamen number,stamen arrangement,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,dispersule min width [cm],dispersule max width [cm],dispersule min length [cm],dispersule max length [cm],dispersal mode,dispersion axillary,seed colour,seeds max per fruit,seeds min per fruit,seed min width [mm],seed max width [mm],seed min length [mm],seed max length [mm],max seed volume,ploidy,ploidy level,root system,root depth type,root depth [cm],sources
Dactylis glomerata,perennial;perennials;hemicryptophyte,Broadleaved deciduous woodland,Stem erect ;Stem ascending to prostrate ,Tussock forming graminoid;plantlets (pseudovivipary);epigeogeneous stems,,0.133; 0.775;0.3;1.0;1,coarse;glabrous,,,,,,elongate;pointed;simple;folded,acute,,entire;elongate;scabrous,glabrous,0.8;0.2,45;1,0.2,45,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,water;   pig;   sheep;   deer;   car or other vehicle;   hay making machinery;   cattle;domestic animal;   shaken fresh water,awn;hairless,,,,,,,,,,14,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 9, 'tabular': 11}, 'fna': {'text': 5, 'tabular': 0}}"
Dactylorhiza fuchsii,perennials;geophyte,,Stem erect ,Little or no vegetative spread;root tubers below ground,tubers;stem;Stem,0.5;0.15,,,,,,,elliptic;obovate;folded;lanceolate;simple;flat;blunt;oblong;keeled,subacute;obtuse,,entire;elliptic;flat,,5,5.5,,,spike,,,,,pointed,pale pink,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 8, 'tabular': 9}, 'fna': {'tabular': 0}}"
Dactylorhiza incarnata,perennials;geophyte,,Stem erect ,Little or no vegetative spread;root tubers below ground,tubers;Stem,0.6;0.43;0.15,,,,,,spotted;erect,keeled;tapering;simple,acute,,entire,,2,3,20,30,,,,,,,red,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,water,,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 7, 'tabular': 9}, 'fna': {'tabular': 0}}"
Dactylorhiza maculata,perennials;geophyte,Broadleaved deciduous woodland,Stem erect ,Little or no vegetative spread;root tubers below ground,tubers;Stem,0.5;0.15,,,,,,spots,folded;lanceolate;circular;simple;flat;oblong;keeled;linear,acute,,linear;entire;flat,,2,2.5,,,spike,,,,,pointed,pale pink,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,water,,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 9, 'tabular': 9}, 'fna': {'tabular': 0}}"
Dactylorhiza praetermissa,,,,Little or no vegetative spread,tubers;Stem,,,,,,,,tapering;lanceolate;flat;oblong;broadest,,,flat,,1.5,2,10,20,spike,,tepals,,,,red-lilac;lilac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 0}, 'ecoflora': {'text': 10, 'tabular': 2}, 'fna': {'tabular': 0}}"
Dactylorhiza purpurella,,,,Little or no vegetative spread,tubers;Stem,,,,,,,spotted;spots;crowded,oblong;lanceolate,subacute;recurved,,recurved,,1.5,2,10,12,spike,,,,,broad,deep purple;rose;magenta;purplish;purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 0}, 'ecoflora': {'text': 12, 'tabular': 2}, 'fna': {'tabular': 0}}"
Dactylorhiza traunsteineri,perennials;geophyte,,Stem erect ,Little or no vegetative spread;root tubers below ground,tubers;Stem,0.15;0.3;0.11,,,,,,,simple,acute,,entire,,,,,,spike,,,,,,purple,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 3, 'tabular': 9}, 'fna': {'tabular': 0}}"
Danthonia decumbens,perennial;perennials;hemicryptophyte,Grassland and tall forb habitats;Coastal stable dune grassland (grey dunes),Stem erect ;Stem ascending to prostrate ,Tussock forming graminoid;epigeogeneous stems,,0.6;0.1;0.08-0.6;0.1-0.6,,,,,,,simple;blunt;pointed;flat,acute,,entire;flat,glabrous,0.05;0.2,0.4;35,0.2;5,15;35,,,,,,,green,,,,hermaphrodite,,,,,,,selfed,,,,,,,,,,   ant;water;   sheep;   cattle;domestic animal,awned;hairs,,,,,,,,,,24,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 10, 'tabular': 11}, 'fna': {'text': 10, 'tabular': 0}}"
Daucus carota,perennials;annuals;hemicryptophyte;biennial;strict monocarpic bi-annuals and poly-annuals,Perennial calcareous grassland and basic steppes,Stem erect ,root-splitters;adventitious buds on roots;Little or no vegetative spread,Stem,0.3-1;0.3;1.0;0.097; 0.525; 0.3; 0.65,hispid;stiff hairs,stiff hairs,,pinnate,,,compound;concave;flat;ovate,acute;concave;ovate,,lobed and toothed;flat;ovate,glabrous;stiff hairs,,,,,,,,,,,white,,white;purple,,hermaphrodite,,,,,,,insect,,,,oblong;ovoid,,,,,,bird;water;   beetle larva;   pig;   sheep;   car or other vehicle;   mouse;   cattle;domestic animal;   horse;   shaken fresh water;   commerce,hairs,,2,01-Oct,,,,,,,,tap root,deep,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 17}, 'fna': {'tabular': 0}}"
Deschampsia cespitosa,perennial;perennials;hemicryptophyte,Woodland fringes and clearings and tall forb habitats;Alpine and subalpine grasslands;Grassland and tall forb habitats;Dry grasslands;Broadleaved deciduous woodland;Coniferous woodland,Stem erect ;tussock,Tussock forming graminoid;epigeogeneous stems,,2.0;0.1;0.5-2;0.45; 0.09; 1.1,,,,,,prominent;basal;adaxial,ridges;folded;simple;flat;pointed,acute,,entire;flat;scabrous,glabrous,0.1;0.2,0.5;0.4,0.2;5,0.5;30,,bisexual,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,water;   deer;   car or other vehicle;   hay making machinery;   shaken fresh water,awned;awn;hairless;awns;hairs,,,,,,,,,,18,adventitious,,50.0-100.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 10, 'tabular': 12}, 'fna': {'text': 11, 'tabular': 0}}"
Deschampsia flexuosa,perennial;perennials;hemicryptophyte,Mixed taiga woodland with [Betula];Alpine and subalpine grasslands;Mixed deciduous and coniferous woodland;Weathered rock and outcrop habitats;Broadleaved deciduous woodland;Coniferous woodland,Stem erect ,Tussock forming graminoid;rhizomes,rhizomes,0.2-1;0.4;0.125; 0.06; 0.04;0.2,,,,,,basal;adaxial;abaxial,simple,acute,,entire;scabrous,glabrous,0.03,8;20,0.03;12,25;20,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,water;   sheep;   cattle;domestic animal;   shaken fresh water,awns;awn;hairs;hairless,,,,,,,,,,14,fibrous,shallow,50.0-100.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 9, 'tabular': 13}, 'fna': {'text': 10, 'tabular': 0}}"
Digitalis purpurea,perennial;perennials;hemicryptophyte;biennial;strict monocarpic bi-annuals and poly-annuals,,Stem erect ,Seeds;Little or no vegetative spread;epigeogeneous stems,Stem,0.5;1.5;0.5-1.5;1.0; 0.5; 0.575,dense hairs,dense hairs,,,,rosette;alternate,lanceolate;ovate;simple,acute;ovate,,crenate;ovate,soft hairs,15,30,15,30,raceme,,,,,,purple,,,,hermaphrodite,4,,,,,,insect,,,,,,,,,,   car or other vehicle;water;   commerce;   pig,hairs,,1379,100-1000,,,,,,,,tap root,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 15, 'tabular': 15}, 'fna': {'tabular': 0}}"
Drosera anglica,perennial;perennials;hemicryptophyte,"Marly shores, fens, drainage tracks in peat bogs",Stem erect ,Seeds;seeds;epigeogeneous stems,stem;Stem,0.06; 0.04;0.1;0.1-0.3;0.02-0.06;0.18,,,,,,erect,obovate;spatulate;simple;attenuate;oblong;elongate;linear,attenuate;obtuse,attenuate,entire;elongate;linear,glabrous;glandular hairs,0.3;3,0.7;3,3.5;3,3;5,cyme,,,,,unbranched,white,,pinkish;white,,hermaphrodite,,,,,,,wind,,,,,,,,,,   shaken fresh water;water,hairs,black,252;1-2,1-2;100-1000,1,1.5,1,1.5,01-Feb,,40,tap root,shallow,0.0-10.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 18, 'tabular': 14}, 'fna': {'text': 20, 'tabular': 1}}"
Drosera intermedia,perennial;perennials;hemicryptophyte,"Wet habitats, often in several cm of water, including peat bogs, beaver ponds, and wetland margins, often on wet logs (north), wet margins of streams, ponds, bays, and ditches (south)",Stem erect ,Seeds;seeds;Little or no vegetative spread;epigeogeneous stems,stem;Stem,0.05-0.1;0.02;0.025; 0.02; 0.06;0.03-0.06;0.03,,,,,,erect,attenuate;simple;obovate,attenuate;obtuse,attenuate,entire,glabrous;glandular hairs,1,5,1,5,cyme,,,,,unbranched,white,,pink;white,,hermaphrodite,,,,,,,selfed,,,,,,,,,,bird;water;   commerce;   shaken fresh water,hairs,brown,111,10-100,0.7,1,0.7,1,,,20,tap root,shallow,0.0-10.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 17, 'tabular': 15}, 'fna': {'text': 11, 'tabular': 1}}"
Drosera rotundifolia,perennial;perennials;hemicryptophyte,"Sphagnum bogs, fens, beaver ponds, swamps, peaty gravels, sandy soil, wet sand (for example, disturbed bottoms of old sand pits, emergent sandy shorelines) in the North, lake and stream margins, sphagnous streamheads, and seeps in the South;Wet heaths",Stem erect ,epigeogeneous stems;stolons;seeds;Little or no vegetative spread;Seeds,stem;stolons;Stem,0.04;0.04; 0.06; 0.05; 0.18;0.1;0.06-0.15;0.18,,,,,,erect;rosette;prostrate,orbicular;simple;broader,obtuse,,entire,glandular hairs,0.5;1,1.2;1,0.4;1,1,cyme,,,,,unbranched,white,,pink;white,,hermaphrodite,,,,,,,insect,,,,,,,,,,   shaken fresh water;water;   commerce,hairs,brown,113,10-100,1,1.5,1,1.5,,,20,tap root,shallow,0.0-10.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 14, 'tabular': 15}, 'fna': {'text': 16, 'tabular': 1}}"
Eleocharis multicaulis,perennial;perennials;helophyte,Transition mires and quaking bogs,"Stem erect ;Emergent, attached to the substrate ",Tussock forming graminoid;plantlets (pseudovivipary),Stems,0.15;0.3,glabrous,glabrous,,,,,absent,not applicable,,not applicable,glabrous,,,,,,,,,,lanceolate,red-brown,,,,hermaphrodite,3,,,,,,wind,,,,,,,,,,   shaken fresh water;water,Bristles,black;grey,,,1.2,2.5,1.2,2.5,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 12}, 'fna': {'tabular': 0}}"
Eleocharis palustris,perennial;perennials;annuals;helophyte,"Fresh (to slightly brackish?) marshes, meadows, shores, ponds","Stem erect ;mat;Emergent, attached to the substrate ",hypogeogeneous stems;Rhizome far creeping;rhizomes;epigeogeneous stems,stems;rhizomes;Stems,0.6;0.1;0.525,glabrous,glabrous,,,,distal,absent;splitting;obtuse,obtuse;acute;not applicable,,not applicable,glabrous,,,,,,,,,,oblong;slender;lanceolate,brown,,,,hermaphrodite,3,,,,,,wind,,,,,,,,,,bird;water,Bristles;bristles,,1,1,1.4,2,1.4,2,,,16,fibrous;adventitious,shallow,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 11, 'tabular': 15}, 'fna': {'text': 13, 'tabular': 1}}"
Eleocharis quinqueflora,perennial;perennials;helophyte,"Fens, wet meadows, seeps, springs, hot springs;Rich fens. including eutrophic tall-herb fens and calcareous flushes and soaks;Moist and wet dune slacks","Stem erect ;Emergent, attached to the substrate ",rhizomes;buds;epigeogeneous stems;Rhizome shortly creeping;Rhizome,Stems;rhizomes;Rhizome,0.1;0.05;0.3,glabrous,glabrous,,,,distal,absent,acute;not applicable,,not applicable,glabrous,,,,,,,,,,slender,red-brown,,,,hermaphrodite,3,,,,,,wind,,,,,,,,,,   shaken fresh water;water,Bristles;bristles,black;grey,,,1.8,2.2,1.8,2.2,,,,fibrous,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 12}, 'fna': {'text': 8, 'tabular': 1}}"
Eleocharis uniglumis,perennial;perennials;helophyte,"Mostly coastal, brackish (to fresh?) shores, marshes","Stem erect ;mat;Emergent, attached to the substrate ",rhizomes;epigeogeneous stems;hypogeogeneous stems;rhizomatous;Rhizome far creeping,Stems;rhizomes;rhizomatous,0.6;0.1;0.225,glabrous,glabrous,,,,distal,absent;splitting;obtuse,obtuse;subacute;not applicable,,not applicable,glabrous,,,,,,,,,,,red-brown;brown,,,,hermaphrodite,3,,,,,,wind,,,,,,,,,,   shaken fresh water;   sheep;   cattle,Bristles;bristles,yellowish;brown,,,1.1,2.2,1.1,2.2,,,,fibrous;adventitious,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 12, 'tabular': 13}, 'fna': {'text': 11, 'tabular': 1}}"
Elymus repens,perennial;perennials;hemicryptophyte,Bare tilled. fallow or recently abandoned arable land,Stem erect ,Rhizome far creeping;rhizomes;rhizomatous,rhizomes;rhizomatous,1.2;0.3;1.3; 0.2;0.3-1.2,,,,,,prominent;abaxial;adaxial,flat;simple,acute,,entire;flat,hairy;glabrous,0.6,1,,,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,bird;   pig;   sheep;   car or other vehicle;   hay making machinery;   cattle;domestic animal;   shaken fresh water,awned;awn;hairless;awns;hairs,,,,,,,,,,22,fibrous,deep,100,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 5, 'tabular': 13}, 'fna': {'text': 10, 'tabular': 0}}"
Empetrum nigrum s. hermaphroditum,,,,,,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 1}, 'ecoflora': {'tabular': 0}, 'fna': {'tabular': 0}}"
Empetrum nigrum s. nigrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 0}, 'ecoflora': {'tabular': 0}, 'fna': {'tabular': 0}}"
Epilobium alsinifolium,perennial;perennials;hemicryptophyte,,Stem ascending to prostrate ,hypogeogeneous stems;epigeogeneous stems;stolons;Rhizome shortly creeping;Seeds,stem;stolons,0.15; 0.1; 0.2;0.1;0.1;0.002-0.003;0.2,glabrous,glabrous,,,,opposite,lanceolate;ovate;simple,acute;ovate,rounded,toothed;sinuate;ovate,glabrous,1.5,4,1.5,4,raceme,,,,,drooping,pink,,red;bluish,,hermaphrodite,,,,,,,selfed,capsule,,,,,,,,,   shaken fresh water,hairs,,,,1,1,1,1,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 24, 'tabular': 12}, 'fna': {'tabular': 0}}"
Epilobium anagallidifolium,perennial;perennials;hemicryptophyte,Tundra;Alpine and subalpine grasslands,Stem ascending to prostrate ,rooting horizontal stems at or above soil surface;epigeogeneous stems;stolons;Seeds;Shortly creeping stolons in illuminated medium,stem;stolons,0.1;0.07; 0.04; 0.095; 0.03;0.04;0.1;0.001-0.002,glabrous,glabrous,,,,,simple,acute,,toothed,glabrous,,,,,raceme,,,,,drooping,pink,,pinkish;purple,,hermaphrodite,,,,,,,selfed,,,,,,,,,,   shaken fresh water,hairs,,,,1,1,1,1,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 13, 'tabular': 12}, 'fna': {'tabular': 0}}"
Epilobium hirsutum,perennial;perennials;hemicryptophyte,Water-fringing reedbeds and tall helophytes other than canes;Reedbeds normally without free-standing water,Stem erect ,hypogeogeneous stems;stolons;Seeds;Rhizome far creeping;bud,stem;stolons;Stems,0.8;1.15; 0.8;1.5,glandular hairs,glandular hairs,,,sessile;decurrent,opposite,slender;decurrent;lanceolate;simple;branches;oblong,acute,,toothed;branches;ciliate,hairy,1.5,3,6,12,racemes;corymbose,,,,,branches,pink,,purplish;rose,,hermaphrodite,,,,,,,insect,capsule,,,,,,,,,water;domestic animal;   shaken fresh water;   commerce;   erosion material,hairs,red;brownish,,100-1000,1,1,1,1,,,,adventitious,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 22, 'tabular': 14}, 'fna': {'tabular': 0}}"
Epilobium nerterioides,perennial;hemicryptophyte,,,Extensively creeping and rooting at nodes;rooting horizontal stems at or above soil surface;Seeds,stems,0.075;0.2,,,,,,opposite,simple;ovate,ovate;obtuse,,entire;sinuate;ovate,glabrous,0.25,0.8,0.25,0.8,,,,,,,pink,,pink;white,,hermaphrodite,,,,,,,selfed,,,,,,,,,,,,,,100-1000,0.7,0.7,0.7,0.7,,,,fibrous,,0.0-10.0,"{'leda': {'tabular': 1}, 'ecoflora': {'text': 18, 'tabular': 13}, 'fna': {'tabular': 0}}"
Epilobium obscurum,perennial;perennials;hemicryptophyte,,Stem erect ,rooting horizontal stems at or above soil surface;turions;buds;stolons;Little or no vegetative spread;Seeds,stem;stolons;Stem,0.6;0.3;0.45; 0.3; 0.8,soft hairs,soft hairs,,,sessile;decurrent,opposite;alternate,decurrent;tapering;lanceolate;ovate;simple;blunt;oblong;raised,acute;ovate,rounded,toothed;raised;ovate,glabrous,0.8,1.7,3,7,,,,,,,pink,,rose,,hermaphrodite,,,,,,,insect,,,,,,,,,,   rabbit;bird;   sheep;   deer;   cattle;domestic animal;   shaken fresh water,hairs,,,100-1000,1,1,1,1,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 19, 'tabular': 13}, 'fna': {'tabular': 0}}"
Epilobium palustre,perennial;perennials;hemicryptophyte,,Stem erect ,hypogeogeneous stems;bulbil;buds;stolons;Rhizome shortly creeping;Seeds;bud;bulbs,stolons;Stem,0.6;0.15;0.375; 0.3; 0.15,stiff hairs,stiff hairs,,,sessile,opposite,lanceolate;simple;blunt;linear;cuneate,acute;cuneate,cuneate,entire;linear;cuneate,subglabrous,1,1.5,2,7,raceme,,,,,drooping,pink,,lilac;white;rose,,hermaphrodite,,,,,,,insect,capsule,,,,,,,,,   shaken fresh water;water;   standing fresh water,hairs,,,10-100,1.6,1.8,1.6,1.8,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 22, 'tabular': 13}, 'fna': {'tabular': 0}}"
Epilobium parviflorum,perennial;perennials;hemicryptophyte,,Stem erect ;Stem ascending to prostrate ,rooting horizontal stems at or above soil surface;turions;hypogeogeneous stems;stolons;Little or no vegetative spread;Seeds;bud,stolons;Stem,0.6;0.45; 0.3; 0.55;0.3,soft hairs,soft hairs,,,,,branches;simple,acute,,branches;entire,soft hairs,1,1.5,3,7,racemes;corymbose,,,,,,pink,,purplish;rose,,hermaphrodite,,,,,,,insect,,,,,,,,,,water;   sheep;   cattle;domestic animal;   shaken fresh water,hairs,red;brownish,,10-100,0.9,1,0.9,1,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 17, 'tabular': 13}, 'fna': {'tabular': 0}}"
Epipactis palustris,perennials;geophyte,,Stem erect ,hypogeogeneous stems;stolon;Rhizome far creeping;bud;rhizome,stolon;Stem;rhizome,0.275;0.15;0.45,soft hairs,soft hairs,,,,,concave;lanceolate;ovate;simple;oblong,acute;concave;ovate,,entire;ovate,,5,15,5,15,raceme,,,,,drooping,white,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,   commerce,,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'tabular': 0}}"
Erica ciliaris,perennials;phanerophyte,,Stem erect ;shrub,Little or no vegetative spread;epigeogeneous stems,stems,0.6;0.2,soft hairs,soft hairs,,,,,simple,acute,,entire,glandular hairs,,,,,raceme,,,,,,red-pink,,,,hermaphrodite,8,,,,,,insect,,,,,,,,,,,,,80,10-100,,,,,,,,fibrous,,10.0-50.0,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 5, 'tabular': 16}, 'fna': {'tabular': 0}}"
Erica cinerea,perennials;phanerophyte,Maritime grasslands,Stem erect ;shrub,Seeds;Little or no vegetative spread;epigeogeneous stems,stems,0.6;0.15-0.3;0.6; 0.325,,,,,,,lanceolate;simple;revolute;flat;linear;triangular,triangular;acute,,entire;linear;flat;revolute,glabrous,0.5;0.03,0.7;0.06,0.5;0.25,0.7;0.5,racemes,,,,,,crimson-purple,,,,hermaphrodite,8;10,,,,,,selfed,,,,,,,,,,   cattle,filaments;awns;awned;hairs,,,10-100,0.4,0.7,0.4,0.7,,,24,tap root,shallow,10.0-50.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 13, 'tabular': 14}, 'fna': {'text': 18, 'tabular': 1}}"
Erica tetralix,perennials;evergreen;phanerophyte,"Sandy, acidic, upland sites in old pastures and roadsides;Wet heaths;Raised bogs",Stem erect ;shrub,Shortly creeping and rooting at nodes;Seeds;hypogeogeneous stems,stems,0.6; 0.275;0.1-0.25;0.6,glandular hairs,glandular hairs,,,,abaxial;adaxial;terminal,lanceolate;simple;revolute;flat;linear,acute,,entire;linear;flat;revolute,glandular hairs;soft hairs,0.05,0.07,0.3,0.55,clusters;umbel,,,,,obtuse,rose-pink,,,,hermaphrodite,10,,,,,,selfed,,,,,,,,,,water;   sheep;   cattle;   shaken fresh water;   commerce,awns;filaments;awned;hairs,,,10-100,0.3,0.3,0.3,0.3,,,24,tap root,shallow,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 6, 'tabular': 16}, 'fna': {'text': 18, 'tabular': 1}}"
Erica vagans,perennials;phanerophyte,"Sandy, acidic, upland sites in old pastures and roadsides",Stem erect ;shrub,Seeds;Little or no vegetative spread,stems,0.55; 0.3;0.8;0.3-0.6;0.3;0.3-0.8,glabrous,glabrous,,,,,lanceolate;simple;revolute;linear;triangular,triangular;acute,,entire;ciliate;linear;revolute,glabrous,0.7;0.1,0.1;1,0.7;0.45,0.6;1,raceme;racemes,,,,,oblong;elliptic;cylindrical;obtuse,pale lilac,,,,hermaphrodite,10,,,,,,insect,,,,,,,,,,,awnless;awned;filaments,,,,0.5,0.6,0.5,0.6,,,24,,shallow,,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 13, 'tabular': 13}, 'fna': {'text': 19, 'tabular': 1}}"
Eriophorum angustifolium,perennial;perennials;helophyte,Valley mires. poor fens and transition mires;colonial;Raised and blanket bogs,Stem erect ,rhizomes;hypogeogeneous stems;epigeogeneous stems;rhizomatous;Rhizome far creeping,Stems;rhizomes;rhizomatous,0.6;0.2;0.425; 0.015; 0.15,,,,,,distal,point;funnel-shaped;flat;simple,acute,,entire;flat,,0.6;0.3,0.6;0.8,40;2,40;60,,,,,,oblong,black;white;yellow;brown,,,,hermaphrodite,3,,,,,,wind,,,,,,,,,,water;   commerce,Bristles;bristles,blackish;brown,,,3,3,3,3,,,,,shallow,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 17, 'tabular': 9}, 'fna': {'text': 12, 'tabular': 0}}"
Eriophorum latifolium,perennial;perennials;helophyte,Grassland and tall forb habitats;Rich fens. including eutrophic tall-herb fens and calcareous flushes and soaks,Stem erect ,hypogeogeneous stems;Rhizome shortly creeping;epigeogeneous stems;Rhizomes,Stems;Rhizomes,0.6;0.2-0.6;0.425; 0.1;0.2,,,,,,,simple,acute,,entire,,,,,,,,,,,,,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,   shaken fresh water;water,Bristles;hairs,brown,,,3,3.5,3,3.5,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 10, 'tabular': 8}, 'fna': {'tabular': 0}}"
Eriophorum vaginatum,perennial;perennials;helophyte,"Heathland. scrub and tundra habitats;Bogs, meadows, swales, tundra, wet places, peaty soils",Stem erect ;tussock,Tussock forming graminoid;hypogeogeneous stems;epigeogeneous stems;rhizomatous;Rhizomes,Stems;Rhizomes;Stem;rhizomatous,0.6;0.6;0.0008-0.0015;0.3;0.4; 0.45,,,,,,,filiform;subulate;simple,acute,,entire,,0.1,0.1,3;1,50;1,,,,,,,white;brown,,,,hermaphrodite,3,,,,,,wind,,,,,,,,,,   shaken fresh water;water;   commerce,Bristles;bristles,yellowish;brown,,,2,3,2,3,,,58,,deep,50.0-100.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 17, 'tabular': 10}, 'fna': {'text': 9, 'tabular': 1}}"
Eupatorium cannabinum,perennial;perennials;Perennials;hemicryptophyte,Disturbed sites;Broadleaved deciduous woodland;Water-fringing reedbeds and tall helophytes other than canes,Stem erect ,Rhizome shortly creeping;rhizomes;hypogeogeneous stems,stem;rhizomes;Stems,1.2;1.0;0.3-1.5;0.3,,,,simple,partite;palmately,proximal;Basal;opposite,oblanceolate;branch;broad;lanceolate;ovate;simple;lobed;serrate;acuminate,acute;ovate;lobed;acuminate,rounded;simple,branch;ovate;serrate;toothed;acuminate,soft hairs,2;5,10;4,5,10,corymbs,,,,,,mauve,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,   ant;bird;water;   standing fresh water;   commerce,pappi;pappus;bristles;hairs,,,,,,,,,,20,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 16, 'tabular': 10}, 'fna': {'text': 16, 'tabular': 1}}"
Euphrasia confusa,therophyte;annual,,Stem erect ,Seeds;seeds;Little or no vegetative spread,Stem,0.2,stiff hairs,stiff hairs,,,,opposite;alternate,simple,obtuse,,toothed,glabrous;glandular hairs;stiff hairs,0.3,0.7,0.3,0.7,spike,,,,,,white,,,,hermaphrodite,,,,,,,,,,,,,,,,,,bristles;hairs,,,,,,,,,,,,,,"{'leda': {'tabular': 2}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'tabular': 0}}"
Euphrasia frigida,annuals;therophyte;annual,"Wet or dry, rocky, grassy, or sandy places, usually coastal.;Alpine and subalpine grasslands",Stem erect ,Seeds;Little or no vegetative spread,Stem;Stems,0.14;0.1; 0.2; 0.01;0.2,,,,,,cauline;opposite;alternate,oblanceolate;broad;simple;ovate;serrate;oblong;obtuse,acute;ovate;obtuse,,ovate;serrate;toothed;crenate;dentate,glabrous;glandular,0.9;0.3,0.7;1.2,0.9;0.3,0.7;1.2,spike,,,,,,lilac;white,,,,hermaphrodite,,,,,,,,,,,,,,,,,   shaken fresh water,bristles;hairs,,,,,,,,,,44,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 14, 'tabular': 9}, 'fna': {'text': 12, 'tabular': 1}}"
Euphrasia micrantha,annuals;therophyte;annual,"Grassy places, roadsides, abandoned railways and gravel pits, disturbed shorelines, wood margins.",Stem erect ,Seeds;seeds;Little or no vegetative spread,Stem;Stems,0.25;0.18,stiff hairs,stiff hairs,,,,cauline,elliptic;ovate;simple;serrate,acute;subacute;ovate;obtuse,,toothed;elliptic;ovate;serrate,glabrous;stiff hairs,0.1;0.3,0.3;1,0.6;0.3,0.8;1,spike,,,,,,violet;white,,,,hermaphrodite,,,,,,,,,,,,,,,,,,bristles;hairs,,,,,,,,,,44,,,,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'text': 12, 'tabular': 1}}"
